date,company,state,zip,product,sub_product,issue,sub_issue,consumer_complaint,company_response,tags,submitted_via,company_response_to_consumer,timely_response,consumer_disputed,ID
7/30/15,WELLS FARGO & COMPANY,TX,780XX,Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,"My son, XXXX XXXX XXXX attended XXXX XXXX XXXX and received his degree in XXXX. I co signed on the loans with him. He paid on his loan with Wells Fargo without missing a payment when he had his first job. Then he moved to XXXX XXXX and was in the process of finding work. We took a forebearance for about 5 months. As soon as he got back on track he began paying his loan again. We requested that I be removed from his student loan obligation, and I was told that since he took the forebearance, we no longer qualify for me to be removed. He has been making payments for over a year now in good standing and they still will not remove me as a cosigner. Please let me know what information you require to research. 
Thank you. 

XXXX XXXX XXXX",Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1493937
7/17/13,WELLS FARGO & COMPANY,OH,44641,Consumer Loan,Installment loan,Managing the loan or lease,,,,,Referral,Closed with monetary relief,Yes,No,460273
5/16/15,"Retrieval-Masters Creditors Bureau, Inc.",TX,75423,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,,Web,Closed with explanation,Yes,No,1379348
8/13/14,NATIONSTAR MORTGAGE,WA,98320,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,,Referral,Closed with explanation,Yes,No,982565
6/19/12,AMERICAN EXPRESS COMPANY,NJ,7652,Credit card,,Closing/Cancelling account,,,,Servicemember,Web,Closed with explanation,Yes,Yes,103777
6/26/16,SYNCHRONY FINANCIAL,MI,480XX,Credit card,,Payoff process,,"Synchrony Financial is taking extra payments that are being made and not applying them properly. They make it difficult to pay extra payments on promotional balances. They have also "" made up charges '' that they have applied to my account that I continually have to call and get fixed. They can not tell me what these charges are. I have had to call weekly and argue with them on applying extra payments to my promotional balances and they continually do it wrong.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1985387
5/15/12,"CIT BANK, NATIONAL ASSOCIATION",CA,90230,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,,Referral,Closed with non-monetary relief,Yes,No,77883
8/25/16,FMS Inc.,WA,983XX,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,"After reviewing my XXXX credit report I was very concerned to realize that I had negative items listed that are all medical debt from the same company FMS Inc with the original debtor showing XXXX. I immediately contacted XXXX and was told they did not have any services rendered to me with a balance owed ( I am including documentation ) which shows any services I had have a XXXX balance and that had if had any services ( Which I did not ) they would have been fully covered insurance. This leads me to believe either this is a matter of identity theft or someone else 's information reporting to my report. I have struggled to navigate through the muddy water of removing these medical debt inaccuracies on my credit report which continue the negatively impact my overall credit. I have never received any communication from FMS Inc stating that I owe the debt nor have they legally validated the debt after several disputes with FMS Inc. as well as XXXX & XXXX I have had continuous medical insurance with my employer since XXXX through XXXX as well as dual coverage from my husband which is a XXXX service member through XXXX. This is also validated through XXXX the original debtor which I am including in documents ( this would leave no reason for an unpaid medical bill ). I have disputed the validity of this debt with XXXX and Fms Inc. multiple times. I do n't know how The credit bureau 's or FMS Inc could accurately or fairly verify the accuracy of this debt and still remain within HIPPA laws. XXXX was unable to validate anything was owed which I am attaching Billing info as documentation. I am including my history with XXXX, My Insurance Info and everything else that should allow XXXX the promptly remove these inaccuracies from my report. I feel very violated that I even need to provide my medical history to show that I have not had services unpaid through XXXX. 

All account posted to credit bureau on the same day. on XXXX FMS XXXX XXXX/XXXX/XXXX {$3900.00} XXXX Debtor XXXX FMS XXXX XXXX/XXXX/XXXX {$2500.00} Origianl Debtor XXXX All account posted to credit bureau on the same day.XXXX FMS XXXX XXXX/XXXX/XXXX {$3900.00} Origianl Debtor XXXX FMS XXXX XXXX/XXXX/XXXX {$2500.00} Origianl Debtor XXXX FMSXXXX XXXX/XXXX/XXXX {$460.00} Origianl Debtor XXXX",Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,No,2081861
10/21/15,"SELECT PORTFOLIO SERVICING, INC.",OR,973XX,Mortgage,Other mortgage,"Application, originator, mortgage broker",,"My loan has been in some sort of weird status for over 7 years. There are several issues here. One, in dealing with SPS, they have claimed to be 'working ' with me for many years, however no matter how many documents I send to them they respond by saying they always need more documents, even the ones I have sent repeatedly, and it goes nowhere. The main problem is the loan itself, and how I can go about disputing the entire loan. If I can not work out this issue, where they constantly call saying I am deliquent, or saying they have turned it over to a lawyer, or that I am facing foreclosure or I need to sign short sale paperwork, then I need to fight back against them.",Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,No,1617983
5/7/13,WELLS FARGO & COMPANY,MI,28187,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,,Phone,Closed with explanation,Yes,Yes,401355
2/20/12,"BANK OF AMERICA, NATIONAL ASSOCIATION",OH,45424,Credit card,,Rewards,,,,,Web,Closed with relief,Yes,No,24961
7/1/16,"Duncan Solutions, lnc.",MD,207XX,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,"During a review of my credit, PROFESS ACCT was listed and attempting to collect XXXX debts. I contacted the company, and the representative initially could not locate either debt. After several attempts, the debts were located but limited information was available. I contacted the XXXX using the limited information and was given further instructions. In any event, the first debt resulted in a case of mistaken identity ( Similar name, wrong person ). As for this debt, which is listed as a parking ticket, I have no record of receipt. Therefore, I am disputing this debt. I have contacted the XXXX and requested more information. However, I have not received anything to date. I have also sent PROFESS ACCT a letter disputing this debt.",Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,No,1995781
4/5/16,"Legal Recovery Law Offices, Inc",CA,957XX,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,"After receiving an uncertified letter in the mail from Legal Recovery Law Offices , Inc. stating that they would be suing for an old debt on behalf of XXXX XXXX XXXX ; My employer received documents for a wage garnishment. I then made contact with Legal Recovery Law Offices Inc. to reach an agreement on a payment plan. They accepted and a "" good faith '' payment was made that day ( XXXX XXXX, 2015 ) in the amount of {$240.00} via my debt card. Following this payment I was sent documents for the payment plan that was agreed to. It was a three year plan with payments of {$240.00} per month. I was to fill in the date for each automatic payment to be withdrawn from my account. They printed my entire debt card number and cvc number on this document. Once I filled in the dates and signed it, I sent it back to their address at XXXX XXXX XXXX XXXX # XXXX XXXX XXXX, CA XXXX. A few months later I realized that a payment had not been taken out. At this point my wife called to verify what was going on as our entire bank account information was on this document. They claimed they never received it. Several times after this I tried to fax them the information and not once did the fax go through. Last week I made phone contact with them again to resolve the issue and was informed on recorded phone call that the fax number had been out of order for over a year. This is the number still listed on documents sent by the company. At this time they informed me that since payment had not ben received, they were taking action again via wage garnishment. Over the last week my wife and I have made every effort to find a solution with this company and have had no success.",,,Web,Closed with explanation,Yes,No,1865924
1/14/16,TOYOTA MOTOR CREDIT CORPORATION,CA,90723,Consumer Loan,Vehicle loan,Taking out the loan or lease,,,,,Web,Closed with explanation,Yes,No,1743465
4/27/16,"PLAZA HOME MORTGAGE, INC.",MD,208XX,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,"In XXXX 2016, I refinanced my mortgage with a company with a company called XXXX, who brokered and funded the loan. At settlement I was directed to make the first mortgage payment to the mortgage link which I did. Shortly after the first payment went out I received a letter from Plaza Home Mortgage informing me that they had obtained the loan and that further payments were to be made to them. On XXXX XXXX I received a call from Plaza Home Mortgage informing me that I had not made my first month 's mortgage payment. I informed them that the payment had been made to the mortgage link and that they should contact the mortgage link to to resolve the matter. The person on the phone ignored whatever I said to her and continued to demand payment I told her that I would not provide any other payment since the payment had already been sent. The following day I received another call and I informed them that the payment had been sent and that they should contact the mortgage link to resolve the matter. On XXXX XXXX I made a three-way call with XXXX and Plaza Home Mortgage. We were assisted by a lady name XXXX and she informed them that the check had been endorsed over to Plaza home mortgage and sent to their XXXX PA office. She then emailed copies of the front and back of the check and the endorsement and all information associated with the transfer to Plaza home mortgage. The gentleman on the phone noted that some of the information Plaza had provided to XXXX was incorrect. He then stated that he would work to find the check. Approximately two days later I 've I received another threatening call from Plaza home mortgage and demanding that payment. I asked the person on the phone if they had no information regarding the dispute about whether the had been made. She also demanded copies of the front and back of the check I told her that dissenter already been sent she then ignored that and continued to demand payment. When it became obvious that Plaza home mortgage would do nothing to resolve the matter but demand payment I decided it was time to seek legal advice. 

Before doing so I made one last ditch effort to resolve the matter I found a lady on their website who seem to be somewhat helpful she took my information and two days later I received a call from her stating that she could not find the check and that I should resend the check and put a stop payment on the previous check. All in the meantime I continue to receive threatening phone calls and letters from loss mitigation regarding foreclosure from Plaza home mortgage. 

The people at Plaza seem to have no understanding of what it was was going on or they did not care. They only seem to want a second payment which they did not deserve, they made no attempt to resolve the situation they only seem to want more money. They were very unprofessional and unethical. They called on numerous occasions while I was at work in an attempt to embarrass me. At this point I am not sure what the situation is regarding my mortgage because everyone at Plaza seem to give a different answer to the same question. Loss mitigation, customer service, and collections seem to have no interaction and one does not know what the other is doing.",Company believes it acted appropriately as authorized by contract or law,,Web,Closed with explanation,Yes,No,1898558
9/4/14,NATIONSTAR MORTGAGE,WI,53821,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,,Referral,Closed with explanation,Yes,Yes,1014121
4/20/17,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77584,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,2443791
2/24/17,PREFERRED CREDIT INC,MN,554XX,Consumer Loan,Installment loan,Problems when you are unable to pay,,"I purchased a XXXX in XX/XX/2016, we made payments for a few months. In XXXX and XXXX we had some financial trouble and fell behind. We picked back up and made payments over what we owed to get out of "" collections '' even though they were still accepting our payments. In XXXX the finance company called my work phone, I explained that I can not take calls at work and asked them very firmly never to call my desk again. This month we are short due to me having to take time off of work for health issues. the payment came out this morning and they called my desk phone again! I may lose my job because of this and it is a huge violation since I have asked them previously to take that number off of my file they CAN NOT call it.",,Servicemember,Web,Closed with explanation,Yes,No,2359830
3/8/17,"EQUIFAX, INC.",CA,921XX,Credit reporting,,Incorrect information on credit report,Account status,"I am a California resident who is presently studying abroad. I was reviewing a copy of my recent credit report and found an account for total of {$60.00} in collections. I called the collections agency as below : XXXX, XXXX XXXX XXXX, CA-XXXX ( XXXX ) XXXX They are listed as reporting this debt to all three credit bureaus. It appears on my XXXX, Equifax, and XXXX reports. The collections agency said they are unable to mail or fax me any documentation because I am studying abroad now. They also refused to email me documentation because of "" privacy concerns. '' I am unaware of what this XXXX dollar charge is, have never been contacted about it, and I am unable to obtain any documentation about it. 

Additionally I am unable to submit a my dispute of the information directly to the credit reporting bureaus. I was getting a security message error when trying to file a correction through the websites. Perhaps because I am abroad? Because I am out of the country presently and unable to find telephone, fax number, or email contacts for submitting concerns to the credit reporting agencies, there seems to be no way to contact the credit bureaus about this concern or obtain documentation about what this is. 

I greatly appreciate your help in resolving this. 

Thank you, XXXX",,,Web,Closed with explanation,Yes,Yes,2377243
10/31/15,"Jensen & Sullivan, LLC",WY,82003,Debt collection,Medical,Improper contact or sharing of info,Contacted me after I asked not to,,,,Web,Closed with explanation,Yes,Yes,1634592
11/30/15,PAYPAL HOLDINGS INC.,NY,105XX,Bank account or service,Other bank product/service,"Account opening, closing, or management",,i order a XXXX on line which the site said ebay and that i can pay with my pay pal account and that my order is protect. on XXXX/XXXX/2015 i get an email from XXXX saying my package was delivered as XXXX so i get home around XXXX and i see no package so i called XXXX and they said the package was passed off to United State Post Office and that they received an email from the post office that the package was delivered. So i called the post office and they tell me the package was left on the front pouch and i told them there was no package left i told them i went back to my camera that i have outside of my house and it do not show anyone coming in my from gate at the time they said the package was delivered so they open an investagation and gave me a claim number and said some will call me within XXXX hours. witch they did n't it was more like 5 days when i received a call back and the rep. just told me the same thing i had on my compliant form that the package was delivered on XXXX/XXXX/2015 at XXXX i told him this is the same information i put on my compliant tell me something else. I asked the rep. if he spoke with the person that said they delivered the package and he said no i said why not he said they might not remember i told him that 's not an answer he said he would checked with the person and get back with me. a few days went by and i call the post office back and they told me my case was closed i said the rep. i talk to was going to check and get back to me. so i open another case with the same complaint and they told me the same thing. no one did anything about this and i want to know why. right now im out XXXX and my son son do n't have his XXXX.,,Servicemember,Web,Closed with explanation,Yes,No,1675863
1/31/13,SYNCHRONY FINANCIAL,AZ,85388,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with explanation,No,No,278538
2/16/16,Ditech Financial LLC,TX,75243,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company believes it acted appropriately as authorized by contract or law,Older American,Phone,Closed with explanation,Yes,No,1789669
3/29/16,"Navient Solutions, LLC.",AZ,852XX,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Trouble with how payments are handled,I am on an income based repayment plan through Navient. I submitted my yearly tax returns to have my payments reassessed. On XXXX XXXX I got an email that the payment term for my loans had changed and my next payment amount was {$340.00} due on XXXX/XXXX/16. On XXXX XXXX I got XXXX emails. The first said that the payment term for my loans had changed and my next payment amount was {$360.00} due on XXXX/XXXX/16. The second said that the payment term for my loans had changed and my next payment amount was {$51.00} due on XXXX/XXXX/16. On XXXX XXXX I got a monthly statement email that said my next payment amount was {$760.00} due on XXXX/XXXX/16. When I logged into my Navient account to check which amount was correct it said that the auto-pay would bill my bank account {$760.00} on XXXX/XXXX/16 and XXXX/XXXX/16.,,,Web,Closed with explanation,Yes,No,1855401
5/18/16,Texas Guaranteed,TX,78665,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Having problems with customer service,,Company disputes the facts presented in the complaint,,Web,Closed,Yes,Yes,1930332
9/13/16,"EQUIFAX, INC.",GA,31021,Credit reporting,,Incorrect information on credit report,Public record,,,,Web,Closed with explanation,Yes,No,2109221
3/29/13,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98501,Credit card,,Closing/Cancelling account,,,,Older American,Postal mail,Closed with explanation,Yes,No,369227
10/1/13,JPMORGAN CHASE & CO.,NY,11212,Credit card,,Billing disputes,,,,,Web,Closed with monetary relief,Yes,No,549798
7/31/12,Ditech Financial LLC,LA,70094,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,,Phone,Closed with explanation,Yes,No,127444
3/4/13,Experian Information Solutions Inc.,FL,33062,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,,,,Postal mail,Closed with explanation,Yes,No,339072
7/18/14,"Navient Solutions, LLC.",CA,92602,Debt collection,Non-federal student loan,False statements or representation,Attempted to collect wrong amount,,,,Web,Closed with monetary relief,Yes,No,943777
3/18/15,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30087,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,,Web,Closed with explanation,Yes,No,1288159
1/15/15,CAPITAL ONE FINANCIAL CORPORATION,MI,49601,Credit card,,Late fee,,,,,Web,Closed with explanation,Yes,No,1194470
9/27/12,AES/PHEAA,MA,1469,Student loan,Non-federal student loan,Repaying your loan,,,,,Web,Closed with non-monetary relief,Yes,No,161238
8/4/15,JPMORGAN CHASE & CO.,NY,10010,Credit card,,Billing disputes,,,,Older American,Web,Closed with monetary relief,Yes,Yes,1502540
9/16/15,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,112XX,Credit reporting,,Incorrect information on credit report,Account terms,"The company is disputing an item from XX/XX/XXXX on my credit report as if it is a new account. The information that was provided to the credit bureaus is showing as new for a original creditor. Which should n't be updated on my credit report because I disputed the account and it was removed off my credit report to re appear as if it is new. Please investigate this company because the time has past on statue of limitations and now there returning with a new company to impose on my credit report and lower my report due to wrong information being provided 8 years later. 

XXXX XXXX XXXX XXXX XXXX XXXX, XXXX ( XXXX ) XXXX XXXXOriginal Creditor XXXXStatus OpenOpened Date XX/XX/XXXXClosed Date -- Responsibility IndividualBalance $ XXXXHigh Balance {$2200.00}",Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1567736
10/17/14,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77057,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not disclosed as an attempt to collect,,,,Phone,Closed with explanation,Yes,No,1076094
6/11/14,Resurgent Capital Services L.P.,GA,30039,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,,Referral,Closed with explanation,Yes,No,889516
5/27/14,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WI,54558,Credit reporting,,Incorrect information on credit report,Account status,,,,Postal mail,Closed with explanation,Yes,No,868194
1/10/17,Bridgecrest Acceptance Corporation,IN,46017,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Web,Closed with explanation,Yes,No,2284041
8/19/14,NATIONSTAR MORTGAGE,TN,38125,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Older American,Web,Closed with explanation,Yes,No,990681
8/8/16,TMX Finance LLC,GA,31088,Consumer Loan,Title loan,Charged fees or interest I didn't expect,,,,,Fax,Closed with explanation,Yes,No,2050368
9/30/16,WELLS FARGO & COMPANY,TX,762XX,Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I previously submitted a claim : Case number : XXXX. I was not happy or satisfied with Wells Fargo 's Response. They did not address the issue, the only sent me letters explaining the way my account was set up. Never addressed the information protection violation that wells Fargo engaged in when the shared my information with others. Me and my wife have been recovering from XXXX and it was difficult to respond earlier. I would like wells Fargo to admit what they did was wrong, issue a real apology and a solution to recover and correct the financial loss we have incurred due to the sharing of our private information with others. We have been receiving phone calls, emails, as well mail, that seems to be a direct result of information sharing.",,,Web,Closed with explanation,No,No,2139367
4/21/15,"BANK OF AMERICA, NATIONAL ASSOCIATION",KY,400XX,Credit card,,Customer service / Customer relations,,"After a 19 year customer BofA my card was canceled with no notice. I never had a late payment. After returning from XXXX Army XXXX I XXXX am not able to enter a crowded store and was able to purchase gas at the pump outside with my credit card. My car number is "" ******************* ''. Any explanation would be greatly appreacheaded. 
XXXX XXXX XXXX XXXX XXXX. 
XXXX, KY XXXX",Company chooses not to provide a public response,"Older American, Servicemember",Web,Closed with explanation,Yes,No,1339748
9/24/15,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",MO,63129,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,,Web,Closed with explanation,Yes,No,1577946
9/12/14,BARCLAYS BANK DELAWARE,NE,68137,Credit card,,Rewards,,,,,Referral,Closed with explanation,Yes,No,1026495
10/15/13,TD BANK US HOLDING COMPANY,FL,33916,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,Older American,Referral,Closed with monetary relief,Yes,No,559178
2/11/13,"SUNTRUST BANKS, INC.",VA,23234,Bank account or service,Checking account,Problems caused by my funds being low,,,,,Referral,Closed with explanation,Yes,No,312799
8/29/14,"BAYVIEW LOAN SERVICING, LLC",NJ,7442,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,,Fax,Closed with explanation,Yes,No,1007417
6/15/15,"EQUIFAX, INC.",CA,95823,Credit reporting,,Incorrect information on credit report,Account status,,,,Postal mail,Closed with explanation,Yes,Yes,1422302
3/1/16,"Navient Solutions, LLC.",AL,366XX,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,"In XXXX I attempted to call Navient about my student loan. I could not find the number so I XXXX it. When I called the number a XXXX XXXX answered the phone and asked me was I calling about my student loans. He may have said are you calling to consolidate your student loans. I told him I was calling to request a deferment on my student loans. He went through the spill of telling me about the federal government forgiveness program. I had heard of it but never checked into it nor read about it. What he told me I took for truth and he told me that the federal government was offering the loan forgiveness program if you qualify. He asked me a few questions and determined I qualified. He told me it would cost {$390.00} and XXXX $ a month for 20 years afterwards the balance forgiven. I told him I had to think about. Up until now I thought I was talking with representative from Navient ; he then told me to think about and gave me the correct number to call Navient. I did not mention this to Navient when I called ; I only ask for the deferment information. After a few weeks I decided to call XXXX XXXX back, thinking he is with the XXXX to start the process of loan forgiveness. Unfortunately after I paid the {$390.00} to XXXX XXXX and was not able to get back in touch with him the next day I felt uneasy. I paid this money on a Thursday, Monday I called Navient to tell them what happen. They inform me that I had talked with a third party company. The company XXXX XXXX is with is called FedLoan Help Center. Navient informed me that they were playing off the name XXXX XXXX with is a legit company they deal with for consolidation and loan forgiveness and is a free service. I have called and emailed XXXX XXXX, no response. I will continue to call the XXXX XXXX XXXX to request a refund, but I have signed papers electronically and I am not sure how far I will get or how long this will take. I am furious that he had mislead me to believe he was with the XXXX and that the Federal Government was offering loan forgiveness for XXXX $ and XXXX $ a month for 20 years and then I would be forgiven for the balance. This company has misrepresented themselves on googled and used wording to make you think they are with the Federal Government and the XXXX.",,,Web,Closed with explanation,Yes,No,1810558
12/11/12,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,27604,Bank account or service,Savings account,Deposits and withdrawals,,,,,Referral,Closed with explanation,Yes,No,207412
7/30/12,OCWEN LOAN SERVICING LLC,ND,58201,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,,Web,Closed with monetary relief,Yes,No,126653
8/26/16,"BANK OF AMERICA, NATIONAL ASSOCIATION",PA,18302,Credit card,,APR or interest rate,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Servicemember,Web,Closed with explanation,Yes,No,2082953
2/12/14,SANTANDER CONSUMER USA HOLDINGS INC.,TX,77459,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,,Web,Closed with explanation,Yes,No,724742
1/20/15,"CITIBANK, N.A.",NJ,7083,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,,Web,Closed with explanation,Yes,No,1199141
5/27/15,AFNI INC.,AZ,85016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,,Web,Closed with explanation,Yes,Yes,1394331
12/16/16,WELLS FARGO & COMPANY,TX,78550,Bank account or service,Checking account,Deposits and withdrawals,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,Phone,Closed with explanation,Yes,No,2252966
1/8/14,REGIONS FINANCIAL CORPORATION,MO,63128,Bank account or service,Checking account,"Account opening, closing, or management",,,,Older American,Web,Closed with explanation,Yes,No,658804
4/6/16,CAPITAL ONE FINANCIAL CORPORATION,MA,020XX,Credit card,,Identity theft / Fraud / Embezzlement,,"A fraudulent credit card account was opened in my name at Kohl 's in XXXX, XXXX. On XXXX/XXXX/XXXX Kohl 's acknowledged the fraudulent nature of the account and relieved me of responsibility. Now, Kohl 's refuses to act on my request to send me copies of the fraudulent documentation used in opening that account ; instead, Kohl 's states that such information will be provided only to a law enforcement agency, at the request of said agency. As I read Title 15 U.S. Code Chapter 41 Subchapter III Section 1681g, the victim himself is entitled to copies of the fraudulent documentation but must make the request for it in writing and must meet other reasonable requirements that can be imposed by the business which granted the credit. It is my understanding that providing the information to a law enforcement agency is contemplated in XXXX scenarios : ( 1 ) where the victim 's written request specifies which agency is to receive the documentation ; or, ( 2 ) where there happens to be a law enforcement agency investigating the ID theft and that agency is authorized by the victim to take the relevant records. I do not see how these provisions can be interpreted by the credit-granting business to deny the victim 's request to be given the fraudulent documentation directly. In my case, I have sent Kohl 's written requests to have the information sent to me. Accordingly, scenario ( 1 ) above does not apply. Also, as there is no law enforcement agency investigating my ID theft, notwithstanding reports filed at XXXX separate police departments, scenario ( 2 ) above does not apply. In summary, I believe that Kohl 's misunderstands the right of the victim of ID theft to receive directly, and not via a law enforcement agency, copies of the fraudulent documentation and is unreasonably attempting to require me to trouble one or another law enforcement agency to obtain copies of the fraudulent documentation on my behalf.",,Older American,Web,Closed with non-monetary relief,Yes,Yes,1866470
10/15/12,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94534,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,,Phone,Closed with explanation,Yes,No,171763
8/10/16,"Hunter Warfield, Inc.",TN,371XX,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Used obscene/profane/abusive language,"Hunter warfield debt collection agency has continued to call me to collect a debt from an apartment I used to live in. When I have asked for written documentation to see a breakdown of my charges, the man on the phone became very nasty and told me that a payment had already been made on the account and that it was because of carpet being replaced when I moved out, I told him I still wanted it on paper to see the actual charges for myself he talked over me and very snidely told me "" they would send it "" and then proceeded to hang up on me without another word. When I have offered to pay them in the past for what I could when I could they outright refused saying the debt must be paid in full or in XXXX payments which I am not able to do, I was told "" that was my problem and that I better figure out how to get the debt paid. ''",Company believes the complaint is the result of a misunderstanding,,Web,Closed with explanation,Yes,No,2058137
1/4/17,Rent Recovery Solutions,MD,21702,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,,Web,Closed with explanation,Yes,No,2274408
6/20/13,"FIRST NIAGARA FINANCIAL GROUP, INC.",CT,6457,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,,Phone,Closed with explanation,Yes,No,437871
9/2/15,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,789XX,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,"On XXXX/XXXX/15 I applied for a home equity line of credit ( "" HELOC '' ) online from Bank of America ( "" BofA '' ). The following week I received a telephone call from BofA regarding my HELOC application. One of the questions asked by the BofA employee was "" do you have have any other loan requests pending ''. I answered truthfully, which was yes I had applied for an identical HELOC from XXXX XXXX a day after I applied to BofA. BofA informed me that they would NOT continue with my HELOC application until I provided them a letter from XXXX XXXX indicating that I had withdrawn my HELOC application from XXXX XXXX. I indicated to BofA that I was willing to withdraw my application from XXXX XXXX but only after I had received a loan commitment from BofA. BofA has unwilling to do this and canceled my application. BofA did this despite me being a 20 yr customer ( premier status ) with existing checking, savings and HSA accounts at BofA and a XXXX credit score. This practice by BofA is anti-consumer. It limits shopping for competitive rates and terms. It forces you to either shop for a loan sequentially versus in parallel, which is time consuming at best, lie to BofA during the application process, or find another lender.",Company chooses not to provide a public response,,Web,Closed with explanation,Yes,Yes,1548695
3/1/14,NATIONSTAR MORTGAGE,WI,98012,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,,Web,Closed with explanation,Yes,No,739385
5/25/16,OCWEN LOAN SERVICING LLC,NC,27587,Mortgage,Other mortgage,Other,,,,,Referral,Closed with explanation,Yes,No,1940662
4/28/14,"National Credit Systems,Inc.",CO,80109,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,Older American,Web,Closed with explanation,Yes,No,827589
5/21/14,JPMORGAN CHASE & CO.,OH,44320,Bank account or service,Checking account,Using a debit or ATM card,,,,,Web,Closed with explanation,Yes,No,862397
2/9/18,"Commonwealth Financial Systems, Inc.",FL,346XX,Debt collection,Medical debt,False statements or representation,Attempted to collect wrong amount,"I submitted a certified letter to COMMONWEALTH the collection agency, in fact I used cfpb.gov ( Debt collector response sample letter template ) and within this letter I asked them to contact the Credit Bureaus ( If you report it to a credit bureau ( or have already done so ), also report that the debt is disputed. ) Well my letter is dated XX/XX/XXXX I am sure of it because the certified receipt is dated XX/XX/XXXX. This was a month ago. This was for the Unverified/Validated information concerning the medical debt for XXXX. 
CommonWealth reported to XXXX a 'New collection ' letter on XX/XX/XXXX, another letter I received from XXXX on XX/XX/XXXX letting me know changes on my credit file has taken place from this ( misinformation account XXXX ).",,Servicemember,Web,Closed with explanation,Yes,N/A,2811256
